Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(1999 CQ2),2.075864651937761,0.3810155416680117,3.697283683836495,11,8,673.1,0.9304225176193608,192963674.5104137,86488176.23030895
(2002 RO28),2.0000821556829207,0.3313357060949623,6.187272522093209,9,7,672.6,1.0045426681333158,185919251.39387998,93378074.65653183
(2002 MR3),2.429847819395685,0.6185185714617487,9.748576471818252,17,9,671.9,0.5727100285518889,225868465.6025278,53236723.03739861
(2001 YD1),2.179648645409893,0.4645463611123201,7.035611686036747,9,8,663.2,0.7969025970573703,202610999.4056342,74076724.22743882
(1999 RP28),1.8318147191088059,0.2406304616600653,9.238991138591508,11,8,655.3,1.1212237169419872,170277815.98937044,104224255.74200523
(2001 PG14),1.9678057860832,0.3354640226132667,10.7370683654639,14,7,653.3,0.9791935381405288,182918975.40189537,91021725.81438343
(2001 WH49),1.937576374990003,0.3205286594159952,4.773494909080204,7,9,649.2,0.9969701207246716,180108976.0903391,92674162.39904805
(2003 DH6),1.9246254624153942,0.3132305797360327,19.15436148463549,15,7,648.0,1.006505585115125,178905113.55704394,93560539.18918583
(2002 YG4),1.915727236241449,0.3091649313137624,9.731395296611666,11,7,646.6,1.0109127774335178,178077971.75974688,93970213.30894952
(2001 TB2),1.791757776690792,0.2265620447854792,25.69987119167573,16,7,644.9,1.129835605899427,166554290.57001483,105024780.8321897
(1995 HM),1.7808788680713592,0.2198871253362188,3.988617887270081,12,5,644.3,1.138864821461429,165543032.83704597,105864098.85379776
(1997 UR),1.914536151449821,0.3121324458350451,2.264297950713655,22,7,643.8,1.003669487816121,177967253.51141047,93296907.47525206
(1996 FT1),2.035348304824027,0.398751214499961,2.698883026018024,13,8,641.1,0.8748880313090469,189197444.75670242,81325923.2238409
(2001 PJ29),2.015319905328347,0.3916312763024541,6.634188704455752,19,8,636.5,0.8810218766457192,187335688.71319482,81896099.76879916
(2002 VS85),2.251307501051277,0.5621184251920556,24.775672229453267,8,8,631.9,0.6310699995847437,209272106.1800403,58661621.25718804
