Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU)
(1999 FR5),2.738533061575266,0.4783225127650739,3.8585555608342714,11,7,920.9194035111723,0.9663865861044244
(1995 FG),2.539808229657175,0.3733697883152536,1.9649387877359958,12,6,918.5833765866316,1.158843439057367
315020 (2007 BG49),2.43550803635071,0.3209075935706747,7.894189222714339,44,0,914.4798110633976,1.2521201493076821
451297 (2010 TK54),2.7514943974055552,0.49508511701562,30.80651813587574,24,1,911.9110929287808,0.92922500256799
(2002 FS6),2.6651382434628816,0.4525974546029308,7.533109162487572,7,9,907.737172591851,1.004341191486838
(2001 BN61),2.6802589143397593,0.4643269729243437,9.726408393430075,11,9,904.49559743572,0.9804793823633748
(2000 FX13),2.4393460809437184,0.336901356685012,11.53972450854826,11,7,900.2424977651134,1.2099075737796698
(2001 FC90),2.5087908431514867,0.37750229482012504,12.63769110031826,15,7,897.7524812818042,1.13373062862448
(2002 AN129),2.77370536548643,0.5250765464955554,0.2884704655329451,7,9,895.8833253673814,0.8637584350815812
(2001 UD18),2.627518983055126,0.4459690453141558,2.7882030673904628,7,8,894.7026560543605,1.006748280922524
(1999 LD6),2.7037023156005566,0.4890562232472988,11.302425320472901,11,9,893.6554172580015,0.927728483841504
(2002 VR85),2.911573990634112,0.6036468204306454,6.016667753747847,15,7,893.5669190425658,0.7196170590912059
(2001 TE45),2.6518354481580566,0.4639442227086913,14.63385612113709,10,9,890.4950080882709,0.9710286022925084
(1999 AM10),2.724951330670533,0.5133509654373748,6.801505204041806,11,9,882.5250968734388,0.8762639761608106
(2001 UN16),2.6119610520551833,0.4512766247871774,1.6473424314482041,10,8,881.907775227623,0.9875747048694686
(2003 HW10),2.7536971265560037,0.5319342177005272,3.910475957288944,9,7,880.2631240143888,0.8413621060647994
(2000 EC104),2.440184752402702,0.3703699408938247,31.742644140380467,12,8,867.9121233354556,1.121167083454249
(2001 GS2),2.459345237699376,0.3819041866173484,18.68072541356818,18,7,867.1830400548157,1.100011860305238
(2003 GF21),2.627028483849166,0.4882822107080542,21.82681770307006,8,8,856.5794741198331,0.9032542339686463
(2001 QL163),2.538921437656768,0.4425397805650046,8.166026578668154,8,8,852.8656500775592,0.98114985862643
(2001 VG16),2.520931876199595,0.4329775029974463,11.68018211859446,9,8,852.2775193873999,0.9975209549528944
454266 (2014 FM7),2.270947625368039,0.2910762428552814,19.04449550787612,27,0,852.081761805875,1.246966421823661
(2002 AD29),2.589091346749373,0.4740441001113846,31.690865733219628,9,9,850.2639606707874,0.9238175907155658
(2003 JD11),2.708428529325313,0.5447184089180986,8.535351440453825,12,8,848.0091010985878,0.7982669482307062
(1997 VG),2.4504860553381898,0.4013047640621201,30.9280379318637,13,8,844.652131471439,1.046948789933712
(2002 CP4),2.4107768422546534,0.37979001582474703,14.419943497080881,13,6,843.5570245990898,1.083634357428728
(2000 UQ30),2.540982513001458,0.45501500873341394,4.263552211037751,25,7,842.9459560164214,0.9517409266191071
(2001 VE76),2.641539215328053,0.5147869458403604,4.172161133638944,9,9,841.1175406744281,0.8461317374508578
(2001 FB58),2.3613765064815144,0.3584033070585183,10.53001358699729,13,7,837.1498210062758,1.115317777478719
(1994 FA),2.4638370161588816,0.4184462783087141,12.94694384587859,12,8,836.174756116916,1.010157105206984
(2002 CU46),2.716893387231874,0.5648993225644346,32.172601386026585,16,9,835.5601480164792,0.755398213967929
(2000 SS43),2.44006481449633,0.4093895969545896,4.093273708887485,12,8,832.0585320780292,1.022519015792789
(2001 UU16),2.4451887118784907,0.41542706673572205,13.298715224860949,7,7,829.3460028832426,1.009865623796493
(1999 KL1),2.458767658791666,0.4288827855843989,9.667572728308947,11,8,824.4793044553188,0.9827569835337778
(1995 UC2),2.28090139509396,0.3260279339378647,27.648437091567,12,9,824.0037415323961,1.1592997299614327
(2003 EP16),2.398312653597111,0.395655675798526,8.493290160797791,11,7,822.7913095349855,1.03851305518656
(2002 YC12),2.4696908941855753,0.4387998298666051,11.472763756230519,10,8,821.4133575188589,0.9632965762321084
(1997 YR10),2.285364215079166,0.3322881721841053,36.690619621157,12,9,820.6052715980452,1.145371361192778
(2003 BV35),2.720422276635902,0.5877264478371342,30.778496948131448,17,8,819.1989591325363,0.706392563340811
(1990 UN),2.612781495037682,0.5280628858670434,3.684232740279844,12,9,816.659884270178,0.8069488304654528
(2001 UB5),2.295195277077524,0.3431845226282699,47.05972118894272,7,9,815.8764000993992,1.122347492975263
(2001 TB),2.598967443417119,0.5232022371658681,4.032112471235475,8,8,814.0729652372546,0.8135373179373067
